id_corredor,idade,genero,distancia,tempo_prova,cidade,estado,data_evento
1,,Masculino,5km,00:56:27,Gramado,RS,2023-12-08
2,,Masculino,5km,00:58:09,Caxias do sul,RS,2023-04-02
3,,Masculino,42km,00:34:06,Gramado,RS,2023-09-23
4,,Feminino,10km,00:17:05,Porto alegre,RS,2023-10-26
5,19,Masculino,5km,00:58:27,Porto alegre,RS,2023-06-18
6,26,Masculino,21km,03:51:39,Campinas,SP,2023-01-29
7,65,Masculino,5km,00:49:10,Ouro preto,MG,2023-07-06
8,62,Masculino,42km,00:42:24,Uberlandia,MG,2023-08-11
9,,Masculino,5km,00:58:50,Campinas,SP,2023-15-02
10,,Masculino,10km,00:47:24,Rio de janeiro,RJ,2023-02-04
11,,Masculino,5km,01:35:07,Ouro preto,MG,2023-04-09
12,,Feminino,21km,00:58:41,Caxias do sul,RS,2023-10-13
13,60,Feminino,10km,05:43:41,Caxias do sul,RS,2023-09-17
14,30,Masculino,10km,00:29:51,Santos,SP,2023-23-02
15,21,Feminino,10km,02:40:38,Rio de janeiro,RJ,2023-31-08
16,,Feminino,10km,04:54:53,Petropolis,RJ,2023-18-03
17,18,Masculino,21km,04:26:44,Porto alegre,RS,2023-17-06
18,,Masculino,21km,03:39:44,Rio de janeiro,RJ,2023-12-25
19,21,Masculino,10km,00:41:28,Ouro preto,MG,2023-29-06
20,,Feminino,10km,00:25:25,Belo horizonte,MG,2023-27-05
21,,Masculino,10km,00:14:29,Uberlandia,MG,2023-06-02
22,,Masculino,10km,00:45:43,Sao paulo,SP,2023-04-03
23,33,Feminino,10km,04:40:23,Rio de janeiro,RJ,2023-12-05
24,53,Feminino,5km,00:17:05,Campinas,SP,2023-08-07
25,,Feminino,5km,03:25:37,Sao paulo,SP,2023-22-11
26,,Masculino,21km,00:13:05,Niteroi,RJ,2023-12-11
27,,Feminino,10km,00:37:23,Sao paulo,SP,2023-09-03
28,,Masculino,5km,00:55:38,Belo horizonte,MG,2023-23-09
29,,Masculino,10km,05:42:58,Uberlandia,MG,2023-11-10
30,,Feminino,10km,00:29:06,Niteroi,RJ,2023-24-06
31,37,Masculino,10km,05:14:57,Niteroi,RJ,2023-01-14
32,56,Masculino,10km,00:14:18,Rio de janeiro,RJ,2023-02-19
33,47,Feminino,10km,05:47:33,Caxias do sul,RS,2023-07-07
34,21,Masculino,21km,02:20:55,Petropolis,RJ,2023-06-01
35,56,Feminino,5km,04:15:53,Porto alegre,RS,2023-08-26
36,,Feminino,5km,04:37:54,Caxias do sul,RS,2023-07-08
37,,Masculino,10km,00:14:38,Gramado,RS,2023-12-26
38,,Feminino,5km,00:47:08,Petropolis,RJ,2023-11-23
39,46,Masculino,10km,00:22:13,Rio de janeiro,RJ,2023-13-12
40,59,Feminino,5km,02:41:40,Campinas,SP,2023-06-02
41,42,Feminino,5km,01:29:45,Sao paulo,SP,2023-08-16
42,,Feminino,10km,01:28:29,Porto alegre,RS,2023-06-13
43,19,Feminino,21km,05:42:04,Belo horizonte,MG,2023-12-26
44,,Feminino,42km,05:40:57,Gramado,RS,2023-09-19
45,,Feminino,10km,02:10:11,Gramado,RS,2023-12-19
46,,Feminino,5km,00:53:08,Campinas,SP,2023-12-17
47,34,Masculino,42km,05:48:38,Ouro preto,MG,2023-06-07
48,,Feminino,21km,00:54:06,Uberlandia,MG,2023-14-11
49,43,Masculino,5km,03:50:59,Belo horizonte,MG,2023-02-08
50,62,Feminino,42km,00:24:32,Uberlandia,MG,2023-08-07
51,,Feminino,42km,00:52:41,Santos,SP,2023-12-21
52,61,Masculino,5km,00:31:10,Sao paulo,SP,2023-04-06
53,37,Feminino,5km,04:15:01,Uberlandia,MG,2023-10-01
54,51,Masculino,42km,04:48:41,Belo horizonte,MG,2023-08-29
55,,Masculino,10km,05:17:02,Ouro preto,MG,2023-12-03
56,22,Feminino,21km,00:25:42,Campinas,SP,2023-07-09
57,38,Masculino,10km,01:12:58,Caxias do sul,RS,2023-03-12
58,31,Feminino,10km,00:10:47,Campinas,SP,2023-09-05
59,,Feminino,10km,00:57:17,Rio de janeiro,RJ,2023-12-29
60,34,Feminino,42km,00:36:47,Sao paulo,SP,2023-06-14
61,29,Feminino,10km,05:24:22,Petropolis,RJ,2023-05-03
62,,Feminino,21km,04:34:58,Campinas,SP,2023-07-06
63,38,Masculino,5km,00:37:41,Porto alegre,RS,2023-07-27
64,56,Feminino,10km,00:47:12,Gramado,RS,2023-02-15
